id,symbol,name,current_price,market_cap,market_cap_rank,circulating_supply,fully_diluted_valuation,total_volume,ath,ath_date,atl,atl_date,image,last_updated,max_supply,date
bitcoin,btc,Bitcoin,104339.0,2072910007888,1,19873528.0,2072910007888,25095771330,111814.0,2025-05-22T18:41:28.492Z,67.81,2013-07-06T00:00:00.000Z,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,2025-06-02 19:51:33.190000+00:00,21000000.0,2025-06-02
ethereum,eth,Ethereum,2533.46,305832610071,2,120723694.2120103,305832610071,14256784121,4878.26,2021-11-10T14:24:19.604Z,0.432979,2015-10-20T00:00:00.000Z,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2025-06-02 19:51:33.724000+00:00,,2025-06-02
ripple,xrp,XRP,2.16,127073638498,4,58759724027.0,216229667818,1747385336,3.4,2018-01-07T00:00:00.000Z,0.00268621,2014-05-22T00:00:00.000Z,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2025-06-02 19:51:35.470000+00:00,100000000000.0,2025-06-02
binancecoin,bnb,BNB,659.52,96219209355,5,145887575.79,96219209355,651515589,788.84,2024-12-04T10:35:25.220Z,0.0398177,2017-10-19T00:00:00.000Z,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,2025-06-02 19:51:32.656000+00:00,200000000.0,2025-06-02
solana,sol,Solana,152.35,79597458780,6,522414237.3932839,91741764876,2932303961,293.31,2025-01-19T11:15:27.957Z,0.500801,2020-05-11T19:35:23.449Z,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,2025-06-02 19:51:34.391000+00:00,,2025-06-02
dogecoin,doge,Dogecoin,0.190337,28473617788,8,149514656383.7052,28475047995,975946581,0.731578,2021-05-08T05:08:23.458Z,8.69e-05,2015-05-06T00:00:00.000Z,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,2025-06-02 19:51:33.271000+00:00,,2025-06-02
tron,trx,TRON,0.267257,25353224583,9,94862525751.39848,25353232251,438704798,0.431288,2024-12-04T00:10:40.323Z,0.00180434,2017-11-12T00:00:00.000Z,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,2025-06-02 19:51:33.437000+00:00,,2025-06-02
cardano,ada,Cardano,0.672607,24276902738,10,36079830744.53336,30278984149,467465253,3.09,2021-09-02T06:00:10.474Z,0.01925275,2020-03-13T02:22:55.044Z,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,2025-06-02 19:51:31.177000+00:00,45000000000.0,2025-06-02
litecoin,ltc,Litecoin,88.39,6710613912,25,75922445.73347135,6710613912,296158732,410.26,2021-05-10T03:13:07.904Z,1.15,2015-01-14T00:00:00.000Z,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,2025-06-02 19:51:33.347000+00:00,84000000.0,2025-06-02
polkadot,dot,Polkadot,4.02,6125803693,29,1522267060.0,6125803693,148321581,54.98,2021-11-04T14:10:09.301Z,2.7,2020-08-20T05:48:11.359Z,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,2025-06-02 19:51:34.721000+00:00,,2025-06-02
