date,price,market_cap,total_volume_hist,id,symbol,name,current_price,circulating_supply,high_24h,low_24h,total_volume_actual,last_updated,image
2025-05-27,109024.62093375555,2166089168915.2583,38831461947.39646,bitcoin,,,,,,,,,
2025-05-28,107434.48106938627,2134840711814.694,29412623148.953465,bitcoin,,,,,,,,,
2025-05-29,107207.59605181891,2128963010268.1455,35853191361.01491,bitcoin,btc,Bitcoin,107064.0,19871393.0,108851.0,106968.0,35489532614.0,2025-05-29 14:45:54.963000+00:00,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400
2025-05-27,2664.0850217490665,321625859489.23517,26239828713.53709,ethereum,,,,,,,,,
2025-05-28,2647.387721367338,319606437502.4742,19174498406.011616,ethereum,,,,,,,,,
2025-05-29,2646.2613996863224,319469300291.3843,26745548753.317913,ethereum,eth,Ethereum,2642.43,120724829.450318,2771.24,2621.55,26675765139.0,2025-05-29 14:45:55.800000+00:00,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628
2025-05-27,4.538521497708602,6908490906.894344,196558567.2778823,polkadot,,,,,,,,,
2025-05-28,4.499374820635918,6838436279.071773,197142015.67641875,polkadot,,,,,,,,,
2025-05-29,4.510659111998828,6853911460.978538,229061401.16857457,polkadot,dot,Polkadot,4.48,1522267060.0,4.67,4.43,227611658.0,2025-05-29 14:45:54.432000+00:00,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008
2025-05-27,2.316652995087431,135933700884.58162,2051901380.0681946,ripple,,,,,,,,,
2025-05-28,2.2604671323388588,132657790611.76456,2032834087.3549619,ripple,,,,,,,,,
2025-05-29,2.282799736769203,133853341140.53224,2577853207.2098093,ripple,xrp,XRP,2.28,58686007292.0,2.31,2.24,2573768888.0,2025-05-29 14:45:54.648000+00:00,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442
2025-05-27,687.7231631833541,100331372895.4172,1064163052.7244356,binancecoin,,,,,,,,,
2025-05-28,686.8841431913626,100207854071.36911,830209133.8198787,binancecoin,,,,,,,,,
2025-05-29,682.4355909509685,99558858521.55797,912346997.3548158,binancecoin,bnb,BNB,681.91,145887575.79,689.77,681.89,911712933.0,2025-05-29 14:45:54.643000+00:00,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970
2025-05-27,176.51393277977144,91859447177.76,4143965545.272241,solana,,,,,,,,,
2025-05-28,170.7817245886889,88895942675.2589,3742311584.6343355,solana,,,,,,,,,
2025-05-29,170.05220308579317,88511162493.71658,3960852291.4676576,solana,sol,Solana,169.6,520522987.7010972,174.93,169.53,3818654159.0,2025-05-29 14:45:54.177000+00:00,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756
2025-05-27,95.85177108880517,7274362480.549376,445028442.32398504,litecoin,,,,,,,,,
2025-05-28,94.63365842739324,7186825417.956495,374393935.23506427,litecoin,,,,,,,,,
2025-05-29,95.81729862026609,7269529279.199617,488807663.9669352,litecoin,ltc,Litecoin,95.4,75903214.48347135,98.09,93.66,485315970.0,2025-05-29 14:45:54.708000+00:00,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400
2025-05-27,0.27753946635727933,26330037227.85932,622849323.6154188,tron,,,,,,,,,
2025-05-28,0.27384514484956646,25979897516.605038,520310622.50520366,tron,,,,,,,,,
2025-05-29,0.27604578517454575,26179184349.685894,636146641.809193,tron,trx,TRON,0.275794,94869463108.73315,0.277997,0.272947,628006939.0,2025-05-29 14:45:55.505000+00:00,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193
2025-05-27,0.22598071628349298,33741393915.526337,1365764347.6690843,dogecoin,,,,,,,,,
2025-05-28,0.21923967373304726,32763614999.867462,1169852673.7760248,dogecoin,,,,,,,,,
2025-05-29,0.22022333391652052,32887102609.29662,1455718652.3442035,dogecoin,doge,Dogecoin,0.219745,149442786383.7052,0.227584,0.217739,1454265108.0,2025-05-29 14:45:57.119000+00:00,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409
2025-05-27,0.7598468000089541,27407942402.44762,663540184.9394679,cardano,,,,,,,,,
2025-05-28,0.7406721795593828,26717408042.844242,549249635.991679,cardano,,,,,,,,,
2025-05-29,0.7397728413735418,26684326653.570023,612700415.8114486,cardano,ada,Cardano,0.737852,36072153255.98219,0.762055,0.734737,599822668.0,2025-05-29 14:45:54.853000+00:00,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090
