id,symbol,name,current_price,market_cap,market_cap_rank,circulating_supply,fully_diluted_valuation,total_volume,ath,ath_date,atl,atl_date,image,last_updated,max_supply,date
bitcoin,btc,Bitcoin,104803.0,2082787818958,1,19872668.0,2082792744870,22292994373,111814.0,2025-05-22T18:41:28.492Z,67.81,2013-07-06T00:00:00.000Z,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,2025-05-31 21:18:38.939000+00:00,21000000.0,2025-05-31
ethereum,eth,Ethereum,2544.36,307196065212,2,120724006.9920034,307196065212,14687659228,4878.26,2021-11-10T14:24:19.604Z,0.432979,2015-10-20T00:00:00.000Z,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2025-05-31 21:18:38.250000+00:00,,2025-05-31
ripple,xrp,XRP,2.2,129065109764,4,58759724027.0,219618373575,2411673186,3.4,2018-01-07T00:00:00.000Z,0.00268621,2014-05-22T00:00:00.000Z,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2025-05-31 21:18:38.626000+00:00,100000000000.0,2025-05-31
binancecoin,bnb,BNB,660.35,96352554576,5,145887575.79,96352554576,655922030,788.84,2024-12-04T10:35:25.220Z,0.0398177,2017-10-19T00:00:00.000Z,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,2025-05-31 21:18:38.289000+00:00,200000000.0,2025-05-31
solana,sol,Solana,157.53,82298435501,6,522292517.8468582,94853838902,3282762317,293.31,2025-01-19T11:15:27.957Z,0.500801,2020-05-11T19:35:23.449Z,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,2025-05-31 21:18:38.540000+00:00,,2025-05-31
dogecoin,doge,Dogecoin,0.194505,29077777448,8,149471636383.7052,29082356851,1630698356,0.731578,2021-05-08T05:08:23.458Z,8.69e-05,2015-05-06T00:00:00.000Z,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,2025-05-31 21:18:38.394000+00:00,,2025-05-31
tron,trx,TRON,0.266305,25264270687,9,94865291503.58171,25264271213,640115877,0.431288,2024-12-04T00:10:40.323Z,0.00180434,2017-11-12T00:00:00.000Z,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,2025-05-31 21:18:40.315000+00:00,,2025-05-31
cardano,ada,Cardano,0.692121,24972523618,10,36079830744.53336,31146586323,750582090,3.09,2021-09-02T06:00:10.474Z,0.01925275,2020-03-13T02:22:55.044Z,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,2025-05-31 21:18:38.962000+00:00,45000000000.0,2025-05-31
litecoin,ltc,Litecoin,87.76,6661844409,26,75903214.48347135,6662919013,406795311,410.26,2021-05-10T03:13:07.904Z,1.15,2015-01-14T00:00:00.000Z,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,2025-05-31 21:18:38.327000+00:00,84000000.0,2025-05-31
polkadot,dot,Polkadot,4.11,6255417330,28,1522267060.0,6255417330,224808237,54.98,2021-11-04T14:10:09.301Z,2.7,2020-08-20T05:48:11.359Z,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,2025-05-31 21:18:37.941000+00:00,,2025-05-31
