id,date,closing_price,circulating_supply,market_cap,market_cap_rank,total_volume_day
binancecoin,2024-05-31,595.08,145887575.79,91502935475.98714,5,773657056.4751225
binancecoin,2024-06-01,593.71,145887575.79,91484499156.37357,5,671745609.8230449
binancecoin,2024-06-02,600.92,145887575.79,92391643482.29762,5,592940994.9751196
binancecoin,2024-06-03,602.95,145887575.79,92815739994.6981,5,729625293.0352916
binancecoin,2024-06-04,626.56,145887575.79,96392830574.2577,5,1961098629.5344565
binancecoin,2024-06-05,686.51,145887575.79,105468885833.64392,5,2674092196.770385
binancecoin,2024-06-06,699.92,145887575.79,107455168164.88107,5,2624815114.090775
binancecoin,2024-06-07,710.04,145887575.79,109136373921.8165,5,1902933087.1101096
binancecoin,2024-06-08,683.34,145887575.79,105049550506.8814,5,1735949561.2539003
binancecoin,2024-06-09,682.78,145887575.79,105009707070.7858,5,970666024.3751916
binancecoin,2024-06-10,673.5,145887575.79,103593929502.30762,5,814918778.5516957
binancecoin,2024-06-11,624.11,145887575.79,95971068300.00288,5,2274746205.367519
binancecoin,2024-06-12,601.69,145887575.79,92483600937.1491,5,2229553819.165605
binancecoin,2024-06-13,618.84,145887575.79,95223345273.40164,5,1554248335.2816668
binancecoin,2024-06-14,599.16,145887575.79,92296382370.82454,5,1191864006.7666323
binancecoin,2024-06-15,603.05,145887575.79,92795708620.57265,5,1081824863.9673705
binancecoin,2024-06-16,607.81,145887575.79,93495111372.27794,5,573133472.7140491
binancecoin,2024-06-17,609.83,145887575.79,93844222932.51978,5,520408916.15809137
binancecoin,2024-06-18,603.93,145887575.79,92863624575.77975,5,993748365.859103
binancecoin,2024-06-19,588.35,145887575.79,90374753660.80763,5,1785473969.3443074
binancecoin,2024-06-20,598.18,145887575.79,91968780053.35942,5,965104859.3444736
binancecoin,2024-06-21,586.91,145887575.79,90412994443.05608,5,1092535046.9407232
binancecoin,2024-06-22,585.86,145887575.79,90166701078.6318,5,763964473.6073122
binancecoin,2024-06-23,590.56,145887575.79,90831383357.65897,5,374691318.64901847
binancecoin,2024-06-24,577.11,145887575.79,88704371856.76431,5,602832218.4960234
binancecoin,2024-06-25,568.29,145887575.79,87271749669.35222,5,1423801612.3312726
binancecoin,2024-06-26,578.1,145887575.79,88851602668.00504,5,822683284.7074347
binancecoin,2024-06-27,571.97,145887575.79,87994251271.48695,5,706189025.807188
binancecoin,2024-06-28,580.48,145887575.79,89308267430.44771,5,821012226.7540812
binancecoin,2024-06-29,566.78,145887575.79,87198053054.71178,5,723489522.5438671
binancecoin,2024-06-30,569.04,145887575.79,87526072993.09691,5,405914726.5069232
binancecoin,2024-07-01,581.78,145887575.79,89479656642.3047,5,679465520.4101188
binancecoin,2024-07-02,576.46,145887575.79,88672388632.92958,5,664117687.1465874
binancecoin,2024-07-03,579.02,145887575.79,89098620871.59885,5,606289001.4273182
binancecoin,2024-07-04,556.98,145887575.79,85665920083.9427,5,1001238960.4725356
binancecoin,2024-07-05,513.95,145887575.79,79274495247.43005,5,1545553921.1939452
binancecoin,2024-07-06,498.62,145887575.79,76714273647.3038,5,2604851068.3584733
binancecoin,2024-07-07,527.46,145887575.79,81193238739.26189,5,775622840.4010627
binancecoin,2024-07-08,489.9,145887575.79,75281277003.41962,5,886962556.251936
binancecoin,2024-07-09,510.23,145887575.79,78514420114.3121,5,1586231681.331875
binancecoin,2024-07-10,516.67,145887575.79,79558013405.23064,5,741939896.1615809
binancecoin,2024-07-11,524.29,145887575.79,80718169616.7678,5,846017353.3708689
binancecoin,2024-07-12,525.42,145887575.79,80735885200.94586,5,807513195.2972174
binancecoin,2024-07-13,533.8,145887575.79,82091505746.59743,5,796401058.1368024
binancecoin,2024-07-14,531.83,145887575.79,81949861356.44743,5,628511639.0220709
binancecoin,2024-07-15,544.99,145887575.79,83985308455.3087,5,594170752.2167687
binancecoin,2024-07-16,586.5,145887575.79,90237693987.10371,5,1118557940.60654
binancecoin,2024-07-17,577.07,145887575.79,88732963754.11292,5,1214855892.5372884
binancecoin,2024-07-18,568.66,145887575.79,87605945219.33867,5,801369061.398164
binancecoin,2024-07-19,571.97,145887575.79,88003321839.19179,5,749609076.1390363
binancecoin,2024-07-20,593.63,145887575.79,91326026617.611,5,1198263276.8712485
